Episode    270 | Return:    18.5 | Distance:   5.44m | Steps:  301 | fell
Episode    271 | Return:    26.9 | Distance:   7.13m | Steps:  589 | flipped
Episode    272 | Return:    63.5 | Distance:  14.54m | Steps: 1589 | fell
Episode    273 | Return:    16.5 | Distance:   5.06m | Steps:  351 | fell
Episode    274 | Return:    54.1 | Distance:  12.67m | Steps: 1504 | flipped
Episode    275 | Return:    71.9 | Distance:  16.13m | Steps: 1520 | fell
Episode    276 | Return:    16.9 | Distance:   5.14m | Steps:  333 | fell
Episode    277 | Return:    17.3 | Distance:   5.21m | Steps:  426 | flipped
Episode    278 | Return:    17.6 | Distance:   5.27m | Steps:  460 | flipped
Episode    279 | Return:    16.4 | Distance:   5.05m | Steps:  445 | fell
Episode    280 | Return:    40.5 | Distance:   9.84m | Steps:  778 | flipped
Episode    281 | Return:    27.0 | Distance:   7.16m | Steps:  577 | flipped
Episode    282 | Return:    17.0 | Distance:   5.18m | Steps:  307 | fell
Episode    283 | Return:    28.8 | Distance:   7.57m | Steps:  727 | fell
Episode    284 | Return:    17.1 | Distance:   5.19m | Steps:  293 | fell
Episode    285 | Return:    16.9 | Distance:   5.13m | Steps:  447 | fell
Episode    286 | Return:    44.5 | Distance:  10.76m | Steps: 2250 | no_progress
Episode    287 | Return:   136.9 | Distance:  29.18m | Steps: 2173 | flipped
Episode    288 | Return:    39.3 | Distance:   9.62m | Steps:  617 | fell
Episode    289 | Return:    26.7 | Distance:   7.11m | Steps:  476 | fell
Episode    290 | Return:    17.2 | Distance:   5.20m | Steps:  459 | flipped
Episode    291 | Return:    16.8 | Distance:   5.15m | Steps:  313 | fell
Episode    292 | Return:    27.3 | Distance:   7.21m | Steps:  650 | flipped
Episode    293 | Return:    39.9 | Distance:   9.74m | Steps:  801 | fell
Episode    294 | Return:    52.0 | Distance:  12.17m | Steps:  896 | flipped
Episode    295 | Return:    16.9 | Distance:   5.15m | Steps:  304 | fell
Episode    296 | Return:    54.2 | Distance:  12.70m | Steps: 1699 | flipped
Episode    297 | Return:    29.0 | Distance:   7.56m | Steps:  460 | fell
Episode    298 | Return:    73.9 | Distance:  16.56m | Steps: 1253 | fell
Episode    299 | Return:    18.0 | Distance:   5.35m | Steps:  402 | flipped
Episode    300 | Return:    41.5 | Distance:  10.07m | Steps:  716 | fell
Episode    301 | Return:    57.1 | Distance:  13.19m | Steps: 1098 | fell
Episode    302 | Return:    13.1 | Distance:   4.16m | Steps: 1500 | no_progress
Episode    303 | Return:    62.4 | Distance:  14.24m | Steps: 1203 | flipped
Episode    304 | Return:    39.7 | Distance:   9.70m | Steps:  873 | flipped
Episode    305 | Return:    17.0 | Distance:   5.15m | Steps:  450 | flipped
Episode    306 | Return:    16.9 | Distance:   5.15m | Steps:  600 | flipped
Episode    307 | Return:    16.6 | Distance:   5.09m | Steps:  335 | fell
Episode    308 | Return:    29.2 | Distance:   7.61m | Steps:  443 | fell
Episode    309 | Return:    18.0 | Distance:   5.35m | Steps:  497 | flipped
Episode    310 | Return:    26.9 | Distance:   7.15m | Steps:  378 | fell
Episode    311 | Return:    17.3 | Distance:   5.21m | Steps:  548 | flipped
Episode    312 | Return:    39.4 | Distance:   9.63m | Steps:  777 | flipped
Episode    313 | Return:    17.1 | Distance:   5.19m | Steps:  366 | flipped
Episode    314 | Return:    27.4 | Distance:   7.22m | Steps:  661 | flipped
Episode    315 | Return:    16.7 | Distance:   5.10m | Steps:  287 | fell
Episode    316 | Return:    29.8 | Distance:   7.73m | Steps: 1500 | no_progress
Episode    317 | Return:    28.9 | Distance:   7.55m | Steps:  571 | fell
Episode    318 | Return:    17.4 | Distance:   5.22m | Steps:  341 | flipped
Episode    319 | Return:    44.6 | Distance:  10.68m | Steps:  744 | flipped
Episode    320 | Return:    16.6 | Distance:   5.09m | Steps:  249 | fell
Episode    321 | Return:    29.9 | Distance:   7.72m | Steps:  582 | flipped
Episode    322 | Return:    29.3 | Distance:   7.62m | Steps:  544 | fell
Episode    323 | Return:    26.4 | Distance:   7.05m | Steps:  478 | fell
Episode    324 | Return:    16.6 | Distance:   5.09m | Steps:  339 | fell
Episode    325 | Return:    19.1 | Distance:   5.59m | Steps: 1500 | no_progress
Episode    326 | Return:    46.0 | Distance:  10.90m | Steps: 1500 | no_progress
Episode    327 | Return:    26.4 | Distance:   7.04m | Steps:  465 | fell
Episode    328 | Return:    18.5 | Distance:   5.45m | Steps:  366 | fell
Episode    329 | Return:    43.9 | Distance:  10.55m | Steps:  812 | fell
Episode    330 | Return:    17.4 | Distance:   5.29m | Steps: 1021 | fell
Episode    331 | Return:    17.3 | Distance:   5.21m | Steps:  307 | flipped
Episode    332 | Return:   135.4 | Distance:  28.92m | Steps: 3191 | fell
Episode    333 | Return:    59.9 | Distance:  13.78m | Steps: 2003 | flipped
Episode    334 | Return:    70.4 | Distance:  15.83m | Steps: 1126 | flipped
Episode    335 | Return:    29.1 | Distance:   7.59m | Steps:  501 | fell
Episode    336 | Return:    17.6 | Distance:   5.39m | Steps: 2250 | no_progress
Episode    337 | Return:    29.1 | Distance:   7.60m | Steps:  417 | fell
Episode    338 | Return:    79.2 | Distance:  17.62m | Steps: 1048 | fell
