======================================================================
TRAINING SESSION - 2026-02-09 17:06:38
======================================================================
Episode  116: fell        | Steps:  714 | Distance:   5.03m | Reward:   16.3 | Corridor: holes+50%bumps+random | Seed: 9377
Episode  117: fell        | Steps: 1769 | Distance:  14.04m | Reward:   61.4 | Corridor: holes+50%bumps+random | Seed: 2793
Episode  118: flipped     | Steps: 1954 | Distance:   5.36m | Reward:   17.3 | Corridor: holes+50%bumps+random | Seed: 8614
Episode  119: flipped     | Steps:  594 | Distance:   5.24m | Reward:   17.4 | Corridor: holes+50%bumps+random | Seed: 9004
Episode  120: no_progress | Steps: 1500 | Distance:   5.46m | Reward:   17.4 | Corridor: holes+50%bumps+random | Seed: 5153
Episode  121: fell        | Steps:  502 | Distance:   5.05m | Reward:   16.5 | Corridor: holes+50%bumps+random | Seed: 2750
Episode  122: flipped     | Steps:  674 | Distance:   5.37m | Reward:   18.1 | Corridor: holes+50%bumps+random | Seed: 5596
Episode  123: fell        | Steps: 1047 | Distance:   9.07m | Reward:   36.5 | Corridor: holes+50%bumps+random | Seed: 3438
Episode  124: no_progress | Steps: 2250 | Distance:   5.89m | Reward:   19.1 | Corridor: holes+50%bumps+random | Seed: 2159
Episode  125: flipped     | Steps:  593 | Distance:   5.22m | Reward:   17.3 | Corridor: holes+50%bumps+random | Seed: 5663
Episode  126: no_progress | Steps: 1500 | Distance:   5.54m | Reward:   18.9 | Corridor: holes+50%bumps+random | Seed: 6020
Episode  127: flipped     | Steps: 1105 | Distance:   5.35m | Reward:   18.0 | Corridor: holes+50%bumps+random | Seed: 4681
Episode  128: fell        | Steps:  562 | Distance:   5.09m | Reward:   16.6 | Corridor: holes+50%bumps+random | Seed: 1688
Episode  129: flipped     | Steps:  683 | Distance:   5.20m | Reward:   17.2 | Corridor: holes+50%bumps+random | Seed: 4984
Episode  130: no_progress | Steps: 1500 | Distance:   5.50m | Reward:   17.6 | Corridor: holes+50%bumps+random | Seed: 8980
Episode  131: flipped     | Steps:  826 | Distance:   5.33m | Reward:   17.9 | Corridor: holes+50%bumps+random | Seed: 6521
Episode  132: no_progress | Steps: 1500 | Distance:   5.76m | Reward:   19.7 | Corridor: holes+50%bumps+random | Seed: 3042
Episode  133: fell        | Steps: 1355 | Distance:  11.03m | Reward:   46.3 | Corridor: holes+50%bumps+random | Seed: 3904
Episode  134: no_progress | Steps: 1500 | Distance:   5.55m | Reward:   17.7 | Corridor: holes+50%bumps+random | Seed: 9089
Episode  135: flipped     | Steps: 1583 | Distance:   9.84m | Reward:   40.5 | Corridor: holes+50%bumps+random | Seed: 5476
Episode  136: flipped     | Steps: 1598 | Distance:  13.84m | Reward:   60.5 | Corridor: holes+50%bumps+random | Seed: 316
Episode  137: fell        | Steps:  610 | Distance:   5.05m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 9302
Episode  138: flipped     | Steps: 1104 | Distance:  10.67m | Reward:   44.5 | Corridor: holes+50%bumps+random | Seed: 1243
Episode  139: no_progress | Steps: 1500 | Distance:   5.87m | Reward:   19.3 | Corridor: holes+50%bumps+random | Seed: 9316
Episode  140: no_progress | Steps: 1500 | Distance:   5.90m | Reward:   19.4 | Corridor: holes+50%bumps+random | Seed: 2880
Episode  141: flipped     | Steps:  692 | Distance:   5.33m | Reward:   18.0 | Corridor: holes+50%bumps+random | Seed: 7761
Episode  142: flipped     | Steps:  689 | Distance:   7.24m | Reward:   27.4 | Corridor: holes+50%bumps+random | Seed: 7989
Episode  143: no_progress | Steps: 1500 | Distance:   5.81m | Reward:   18.8 | Corridor: holes+50%bumps+random | Seed: 575
Episode  144: flipped     | Steps:  535 | Distance:   5.24m | Reward:   17.4 | Corridor: holes+50%bumps+random | Seed: 3743
Episode  145: no_progress | Steps: 1500 | Distance:   5.73m | Reward:   19.0 | Corridor: holes+50%bumps+random | Seed: 6430
Episode  146: flipped     | Steps:  583 | Distance:   5.35m | Reward:   18.0 | Corridor: holes+50%bumps+random | Seed: 4644
Episode  147: no_progress | Steps: 1500 | Distance:   7.16m | Reward:   26.5 | Corridor: holes+50%bumps+random | Seed: 1452
Episode  148: fell        | Steps:  689 | Distance:   5.11m | Reward:   16.3 | Corridor: holes+50%bumps+random | Seed: 4961
Episode  149: fell        | Steps: 3321 | Distance:  29.39m | Reward:  138.2 | Corridor: holes+50%bumps+random | Seed: 8940
Episode  150: flipped     | Steps:  751 | Distance:   7.16m | Reward:   27.0 | Corridor: holes+50%bumps+random | Seed: 2215
Episode  151: no_progress | Steps: 1500 | Distance:   5.60m | Reward:   17.8 | Corridor: holes+50%bumps+random | Seed: 3452
