
======================================================================
TRAINING SESSION - 2026-02-08 18:18:28
======================================================================
Episode 142: flipped   | Steps: 1271 | Distance:  7.20m | Reward:  27.2 | Corridor: holes+100%bumps-random | Seed: 2051
Episode 143: flipped   | Steps: 2132 | Distance:  9.84m | Reward:  40.4 | Corridor: holes+100%bumps-random | Seed: 4309
Episode 144: no_progress | Steps: 4500 | Distance: 16.13m | Reward:  70.7 | Corridor: holes+100%bumps-random | Seed: 2419
Episode 145: fell      | Steps:  719 | Distance:  5.06m | Reward:  16.5 | Corridor: holes+100%bumps-random | Seed: 4366
Episode 146: no_progress | Steps: 5000 | Distance: 17.00m | Reward:  73.9 | Corridor: holes+100%bumps-random | Seed: 5939
Episode 147: no_progress | Steps: 1500 | Distance:  5.71m | Reward:  19.8 | Corridor: holes+100%bumps-random | Seed: 4901
Episode 148: flipped   | Steps:  984 | Distance:  7.22m | Reward:  27.2 | Corridor: holes+100%bumps-random | Seed: 7989
Episode 149: flipped   | Steps:  654 | Distance:  5.25m | Reward:  17.5 | Corridor: holes+100%bumps-random | Seed: 1240
Episode 150: fell      | Steps:  964 | Distance:  7.57m | Reward:  29.0 | Corridor: holes+100%bumps-random | Seed: 4249
Episode 151: fell      | Steps:  838 | Distance:  5.04m | Reward:  16.3 | Corridor: holes+100%bumps-random | Seed: 7353
Episode 152: flipped   | Steps: 1699 | Distance:  9.72m | Reward:  39.7 | Corridor: holes+100%bumps-random | Seed: 4035
Episode 153: no_progress | Steps: 2000 | Distance:  9.88m | Reward:  38.9 | Corridor: holes+100%bumps-random | Seed: 7172
Episode 154: no_progress | Steps: 1500 | Distance:  5.89m | Reward:  20.6 | Corridor: holes+100%bumps-random | Seed: 7968
Episode 155: flipped   | Steps:  784 | Distance:  5.22m | Reward:  17.1 | Corridor: holes+100%bumps-random | Seed: 4649
Episode 156: fell      | Steps: 2383 | Distance: 13.03m | Reward:  56.2 | Corridor: holes+100%bumps-random | Seed: 1961
Episode 157: no_progress | Steps: 3000 | Distance: 10.53m | Reward:  43.5 | Corridor: holes+100%bumps-random | Seed: 2611
Episode 158: fell      | Steps:  706 | Distance:  5.06m | Reward:  16.4 | Corridor: holes+100%bumps-random | Seed: 8077
Episode 159: fell      | Steps: 1715 | Distance: 10.05m | Reward:  41.2 | Corridor: holes+100%bumps-random | Seed: 8140
Episode 160: fell      | Steps:  647 | Distance:  5.10m | Reward:  16.7 | Corridor: holes+100%bumps-random | Seed: 2050
Episode 161: fell      | Steps:  830 | Distance:  5.14m | Reward:  16.9 | Corridor: holes+100%bumps-random | Seed: 2851
Episode 162: fell      | Steps: 1669 | Distance: 11.07m | Reward:  46.5 | Corridor: holes+100%bumps-random | Seed: 6061
Episode 163: flipped   | Steps:  985 | Distance:  5.33m | Reward:  17.6 | Corridor: holes+100%bumps-random | Seed: 8768
Episode 164: fell      | Steps:  704 | Distance:  5.06m | Reward:  16.5 | Corridor: holes+100%bumps-random | Seed: 7255
Episode 165: flipped   | Steps:  746 | Distance:  5.34m | Reward:  17.9 | Corridor: holes+100%bumps-random | Seed: 2932
Episode 166: fell      | Steps:  702 | Distance:  5.07m | Reward:  16.5 | Corridor: holes+100%bumps-random | Seed: 2248
Episode 167: fell      | Steps:  650 | Distance:  5.06m | Reward:  16.4 | Corridor: holes+100%bumps-random | Seed: 7028
Episode 168: no_progress | Steps: 2500 | Distance: 10.25m | Reward:  42.3 | Corridor: holes+100%bumps-random | Seed: 7339
Episode 169: flipped   | Steps:  620 | Distance:  5.18m | Reward:  17.1 | Corridor: holes+100%bumps-random | Seed: 1763
Episode 170: flipped   | Steps: 1099 | Distance:  5.31m | Reward:  17.3 | Corridor: holes+100%bumps-random | Seed: 1308
Episode 171: no_progress | Steps: 1500 | Distance:  5.67m | Reward:  18.4 | Corridor: holes+100%bumps-random | Seed: 1056
Episode 172: flipped   | Steps:  753 | Distance:  5.22m | Reward:  17.3 | Corridor: holes+100%bumps-random | Seed: 9067
Episode 173: flipped   | Steps: 1324 | Distance:  5.34m | Reward:  18.0 | Corridor: holes+100%bumps-random | Seed: 9267
Episode 174: fell      | Steps:  621 | Distance:  5.06m | Reward:  16.5 | Corridor: holes+100%bumps-random | Seed: 6108
Episode 175: fell      | Steps:  896 | Distance:  5.03m | Reward:  16.0 | Corridor: holes+100%bumps-random | Seed: 6531
Episode 176: fell      | Steps: 1553 | Distance: 11.54m | Reward:  48.8 | Corridor: holes+100%bumps-random | Seed: 1524
Episode 177: fell      | Steps: 3212 | Distance: 17.55m | Reward:  78.1 | Corridor: holes+100%bumps-random | Seed: 1224
Episode 178: no_progress | Steps: 1500 | Distance:  5.71m | Reward:  19.0 | Corridor: holes+100%bumps-random | Seed: 4545
Episode 179: flipped   | Steps:  579 | Distance:  5.19m | Reward:  17.2 | Corridor: holes+100%bumps-random | Seed: 207
Episode 180: fell      | Steps: 1088 | Distance:  7.56m | Reward:  28.8 | Corridor: holes+100%bumps-random | Seed: 9552
Episode 181: fell      | Steps:  727 | Distance:  5.04m | Reward:  16.2 | Corridor: holes+100%bumps-random | Seed: 9852
Episode 182: flipped   | Steps:  986 | Distance:  5.34m | Reward:  18.0 | Corridor: holes+100%bumps-random | Seed: 4599
Episode 183: flipped   | Steps:  820 | Distance:  7.22m | Reward:  27.4 | Corridor: holes+100%bumps-random | Seed: 5372
Episode 184: fell      | Steps: 1023 | Distance:  9.04m | Reward:  36.4 | Corridor: holes+100%bumps-random | Seed: 2444
Episode 185: flipped   | Steps: 2083 | Distance: 13.20m | Reward:  56.4 | Corridor: holes+100%bumps-random | Seed: 2428
Episode 186: fell      | Steps:  857 | Distance:  5.04m | Reward:  16.4 | Corridor: holes+100%bumps-random | Seed: 2506
Episode 187: fell      | Steps: 1209 | Distance:  7.54m | Reward:  28.6 | Corridor: holes+100%bumps-random | Seed: 2360
Episode 188: fell      | Steps:  725 | Distance:  5.05m | Reward:  16.3 | Corridor: holes+100%bumps-random | Seed: 5144
Episode 189: flipped   | Steps:  676 | Distance:  5.22m | Reward:  17.4 | Corridor: holes+100%bumps-random | Seed: 1568
Episode 190: fell      | Steps:  581 | Distance:  5.04m | Reward:  16.4 | Corridor: holes+100%bumps-random | Seed: 9161
Episode 191: fell      | Steps:  756 | Distance:  5.04m | Reward:  16.3 | Corridor: holes+100%bumps-random | Seed: 5447
Episode 192: fell      | Steps:  679 | Distance:  5.03m | Reward:  16.2 | Corridor: holes+100%bumps-random | Seed: 6274
Episode 193: no_progress | Steps: 1500 | Distance:  7.88m | Reward:  30.2 | Corridor: holes+100%bumps-random | Seed: 7760
Episode 194: flipped   | Steps: 1157 | Distance:  7.34m | Reward:  27.7 | Corridor: holes+100%bumps-random | Seed: 7135
Episode 195: fell      | Steps:  803 | Distance:  5.05m | Reward:  16.4 | Corridor: holes+100%bumps-random | Seed: 4639
Episode 196: flipped   | Steps:  975 | Distance:  5.34m | Reward:  17.9 | Corridor: holes+100%bumps-random | Seed: 8383
Episode 197: no_progress | Steps: 1500 | Distance:  7.91m | Reward:  29.9 | Corridor: holes+100%bumps-random | Seed: 6291
Episode 198: flipped   | Steps:  756 | Distance:  7.24m | Reward:  27.4 | Corridor: holes+100%bumps-random | Seed: 4609
Episode 199: flipped   | Steps: 1357 | Distance:  7.83m | Reward:  30.3 | Corridor: holes+100%bumps-random | Seed: 9369
Episode 200: no_progress | Steps: 1500 | Distance:  5.62m | Reward:  18.9 | Corridor: holes+100%bumps-random | Seed: 8125
Episode 201: flipped   | Steps: 1719 | Distance: 11.81m | Reward:  50.0 | Corridor: holes+100%bumps-random | Seed: 808
Episode 202: fell      | Steps:  811 | Distance:  7.06m | Reward:  26.5 | Corridor: holes+100%bumps-random | Seed: 3261
Episode 203: no_progress | Steps: 1500 | Distance:  5.75m | Reward:  19.4 | Corridor: holes+100%bumps-random | Seed: 6085
Episode 204: flipped   | Steps:  909 | Distance:  5.33m | Reward:  17.9 | Corridor: holes+100%bumps-random | Seed: 9922
Episode 205: fell      | Steps:  871 | Distance:  7.63m | Reward:  29.0 | Corridor: holes+100%bumps-random | Seed: 5553
Episode 206: flipped   | Steps: 1705 | Distance: 12.34m | Reward:  52.5 | Corridor: holes+100%bumps-random | Seed: 3255
Episode 207: flipped   | Steps: 1254 | Distance: 10.23m | Reward:  42.3 | Corridor: holes+100%bumps-random | Seed: 6685
Episode 208: flipped   | Steps: 1194 | Distance:  7.84m | Reward:  30.3 | Corridor: holes+100%bumps-random | Seed: 2946
Episode 209: fell      | Steps:  834 | Distance:  5.03m | Reward:  16.4 | Corridor: holes+100%bumps-random | Seed: 1145
Episode 210: fell      | Steps:  805 | Distance:  7.56m | Reward:  28.9 | Corridor: holes+100%bumps-random | Seed: 7513
Episode 211: no_progress | Steps: 1500 | Distance:  5.56m | Reward:  18.3 | Corridor: holes+100%bumps-random | Seed: 5104
Episode 212: no_progress | Steps: 1500 | Distance:  5.54m | Reward:  18.0 | Corridor: holes+100%bumps-random | Seed: 42
Episode 213: flipped   | Steps:  553 | Distance:  5.23m | Reward:  17.4 | Corridor: holes+100%bumps-random | Seed: 860
Episode 214: fell      | Steps:  918 | Distance:  7.56m | Reward:  28.6 | Corridor: holes+100%bumps-random | Seed: 5004
Episode 215: fell      | Steps: 1079 | Distance:  7.55m | Reward:  28.9 | Corridor: holes+100%bumps-random | Seed: 8113
Episode 216: no_progress | Steps: 1500 | Distance:  5.77m | Reward:  16.0 | Corridor: holes+100%bumps-random | Seed: 5981
Episode 217: no_progress | Steps: 2500 | Distance: 13.58m | Reward:  58.7 | Corridor: holes+100%bumps-random | Seed: 1423
Episode 218: flipped   | Steps: 1037 | Distance:  7.38m | Reward:  28.2 | Corridor: holes+100%bumps-random | Seed: 5309
